Component,Dominant_topic_cluster(s),Perc_contribution,Topic_keywords
Tetris-2,message-based,0.7789312601089478,message-list-write-value-connection-factory-field-result-local-request
Tetris-3,message-based,0.7593773007392883,message-list-write-value-connection-factory-field-result-local-request
Tetris-4,message-based / event-based,0.9998886287212372,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
Tetris-5,event-based,0.9990186095237732,event-action-listener-list-component-object-text-item-change-color
Tetris-6,event-based / message-based,0.9999474585056305,message-list-write-value-connection-factory-field-result-local-request-message-list-write-value-connection-factory-field-result-local-request
Tetris-7,message-based / event-based,0.999861091375351,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
Tetris-8,event-based,0.9993091225624084,event-action-listener-list-component-object-text-item-change-color
Twitter-1,event-based,0.9214692115783691,event-action-listener-list-component-object-text-item-change-color
Twitter-2,event-based,0.9999496340751648,event-action-listener-list-component-object-text-item-change-color
TwitterEvents-1,event-based,0.7997128367424011,event-action-listener-list-component-object-text-item-change-color
Usherb-IFT585-TP1-Link-layer-1,message-based / object-based,0.9791088104248047,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
Usherb-IFT585-TP1-Link-layer-2,event-based / message-based,0.8624371290206909,message-list-write-value-connection-factory-field-result-local-request-message-list-write-value-connection-factory-field-result-local-request
Usherb-IFT585-TP1-Link-layer-3,event-based / object-based,0.9998536109924316,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
Usherb-IFT585-TP1-Link-layer-4,object-based,0.9997544884681702,object-type-value-attribute-key-stream-context-code-element-clazz
Util-1,event-based,0.9984626173973083,event-action-listener-list-component-object-text-item-change-color
Wajavassr-1,message-based / event-based,0.9999610781669617,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
XMLEditor-1,event-based,0.9999728202819824,event-action-listener-list-component-object-text-item-change-color
XMLEditor-2,object-based,0.8573876023292542,object-type-value-attribute-key-stream-context-code-element-clazz
XMLEditor-3,object-based,0.9959619641304016,object-type-value-attribute-key-stream-context-code-element-clazz
XMLEditor-4,object-based,0.9971092343330383,object-type-value-attribute-key-stream-context-code-element-clazz
XMLEditor-5,event-based,0.9997367858886719,event-action-listener-list-component-object-text-item-change-color
XMLEditor-6,event-based / object-based,0.9998835623264313,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
altlaw-extract-1,object-based,0.907220721244812,object-type-value-attribute-key-stream-context-code-element-clazz
altlaw-extract-2,object-based,0.9551772475242615,object-type-value-attribute-key-stream-context-code-element-clazz
altlaw-extract-3,object-based,0.9997292757034302,object-type-value-attribute-key-stream-context-code-element-clazz
altlaw-extract-4,object-based,0.9995222687721252,object-type-value-attribute-key-stream-context-code-element-clazz
amqp-spring-1,object-based / message-based,0.9007071256637573,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
amqp-spring-2,message-based,0.9999315142631531,message-list-write-value-connection-factory-field-result-local-request
amqp-spring-3,object-based / message-based,0.9999074637889862,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
amqp-spring-4,message-based,0.8326637148857117,message-list-write-value-connection-factory-field-result-local-request
amqp-spring-5,message-based / object-based,0.9998506903648376,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
amqp-spring-6,message-based,0.9994738101959229,message-list-write-value-connection-factory-field-result-local-request
amqp-spring-7,object-based,0.8171426653862,object-type-value-attribute-key-stream-context-code-element-clazz
amqp-spring-8,message-based / object-based,0.9997562766075134,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
amqp-spring-9,object-based,0.9975089430809021,object-type-value-attribute-key-stream-context-code-element-clazz
android-sasl-1,object-based,0.9945204257965088,object-type-value-attribute-key-stream-context-code-element-clazz
android-sasl-2,event-based,0.9999996423721313,event-action-listener-list-component-object-text-item-change-color
android-sasl-3,event-based,0.8804531693458557,event-action-listener-list-component-object-text-item-change-color
android-sasl-4,event-based / object-based,0.9999991655349731,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
android-wave-client-1,object-based,0.8730478286743164,object-type-value-attribute-key-stream-context-code-element-clazz
android-wave-client-2,event-based,0.7559146881103516,event-action-listener-list-component-object-text-item-change-color
android_app-1,object-based,0.9395626783370972,object-type-value-attribute-key-stream-context-code-element-clazz
android_packages_apps_Mms-1,event-based / object-based,0.9985314309597015,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
android_packages_apps_Mms-2,object-based / event-based,0.7838022112846375,object-type-value-attribute-key-stream-context-code-element-clazz-event-action-listener-list-component-object-text-item-change-colo
antisamy-filter-1,message-based / object-based,0.9999740123748779,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
antisamy-filter-2,object-based,0.999373733997345,object-type-value-attribute-key-stream-context-code-element-clazz
aoi-Headless-1,event-based,0.9990916848182678,event-action-listener-list-component-object-text-item-change-color
